neighborhood,airbnb_count,airbnb_density,median_property_price,population,median_income,rent_to_income_ratio,price_to_income_ratio,price,latitude,longitude,bedrooms,bathrooms,sqft,airbnb_price
Palmetto Bay,206.0,0.00824,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Hialeah,550.0,0.0024663677130044,500000.0,223000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Miami Springs,65.0,0.0026,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Sweetwater,80.0,0.0032,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
South Miami,60.0,0.0024,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
West Miami,47.0,0.00188,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Flagami,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Morningside,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
West Flagler,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Normandy Isle,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Bay Harbor Islands,156.0,0.00624,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,132.5
Florida City,63.0,0.00252,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Hialeah Gardens,118.0,0.00472,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
North Bay Village,162.0,0.00648,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,132.5
Opa-locka,72.0,0.00288,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Virginia Gardens,34.0,0.00136,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Country Club,163.0,0.00652,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Glenvar Heights,84.0,0.00336,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Golden Beach,142.0,0.00568,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,216.67
Indian Creek,28.0,0.00112,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,216.67
Kendale Lakes,192.0,0.00768,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Leisure City,99.0,0.00396,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Naranja,50.0,0.002,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Ojus,67.0,0.00268,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Olympia Heights,49.0,0.00196,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Princeton,134.0,0.00536,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Richmond Heights,38.0,0.00152,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Richmond West,125.0,0.005,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
South Perrine,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Sunset,57.0,0.00228,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Tamiami,188.0,0.00752,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
The Crossings,91.0,0.00364,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
The Hammocks,203.0,0.00812,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Three Lakes,59.0,0.00236,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
University Park,250.0,0.01,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Westview,41.0,0.00164,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
West Little River,120.0,0.0048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Fisher Island,561.0,0.02244,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,216.67
Star Island,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Venetian Islands,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Bay Point,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Blue Lagoon,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Buena Vista,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Coral Way,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
El Portal,33.0,0.00132,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Goulds,45.0,0.0018,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Medley,31.0,0.00124,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Model City,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Perrine,43.0,0.00172,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Shorecrest,12.0,0.00048,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,
Westwood Lakes,45.0,0.0018,500000.0,25000.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Miami,59.0,0.0001305309734513,750000.0,452000.0,75000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Miami Beach,1383.0,0.0164839094159713,750000.0,83900.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,216.67
South Miami Heights,127.0,0.0034539026380201,400000.0,36770.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Kendall West,127.0,0.0034760236479089,400000.0,36536.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Golden Glades,116.0,0.0035693405950952,400000.0,32499.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Ives Estates,96.0,0.0038392321535692,400000.0,25005.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Coral Terrace,90.0,0.0038890329271454,400000.0,23142.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Pinewood,61.0,0.0035370520700452,400000.0,17246.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Country Walk,60.0,0.0035396141820541,400000.0,16951.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
Miami Shores,59.0,0.0051007175585717,500000.0,11567.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,132.5
Brownsville,59.0,0.0035578604595067,400000.0,16583.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Gladeview,54.0,0.0036176056809807,400000.0,14927.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,58.33
Palmetto Estates,50.0,0.0037042524818491,400000.0,13498.0,60000.0,0.5,0.5,500000.0,25.7617,-80.1918,2.0,2.0,2.0,86.0
